Unique Product Identifier (UPC or SKU),Manufacturer,Brand Name,Product Name,Category,Flavor,Date Added to Directory
1001018060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 60ml 18mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
850011519189,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 120ml 12mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1000800060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 60ml 0mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1000803060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 60ml 3mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1000806060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 60ml 6mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1000812060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 60ml 12mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1000818060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 60ml 18mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
850011519011,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 120ml 0mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
850011519028,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 120ml 3mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
850011519134,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 120ml 6mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
850011519141,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 120ml 12mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
810029040020,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Milk Of The Poppy 60ml 6mg,E-liquid,Milk & Strawberry,05/29/2025
810029040037,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Milk Of The Poppy 60ml 12mg,E-liquid,Milk & Strawberry,05/29/2025
810029044523,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Milk Of The Poppy Salt 30ml 12mg,E-liquid,Milk & Strawberry,05/29/2025
810029044202,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Milk Of The Poppy Salt 30ml 24mg,E-liquid,Milk & Strawberry,05/29/2025
810029044219,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Milk Of The Poppy Salt 30ml 48mg,E-liquid,Milk & Strawberry,05/29/2025
810029040204,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 100ml 0mg,E-liquid,Pineapple,05/29/2025
810029040211,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 100ml 3mg,E-liquid,Pineapple,05/29/2025
810029040228,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 100ml 6mg,E-liquid,Pineapple,05/29/2025
810029040044,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 60ml 0mg,E-liquid,Pineapple,05/29/2025
810029040051,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 60ml 3mg,E-liquid,Pineapple,05/29/2025
810029040068,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express 60ml 6mg,E-liquid,Pineapple,05/29/2025
810029040341,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express Salt 30ml 24mg,E-liquid,Pineapple,05/29/2025
810029040358,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pineapple Express Salt 30ml 48mg,E-liquid,Pineapple,05/29/2025
810029041102,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 100ml 0mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029041119,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 100ml 3mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029041126,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 100ml 6mg,E-liquid,Strawberry & Lemonade,05/29/2025
